,Kla0,Kre0,sed_opt
S40y1,0.02400370628921042,0.0002737041608058098,3.314343880556361
S40y2,0.04293204133690864,0.00015637264578865898,0.995538834733919
S40y3,0.0024435220833809463,0.0002495934875898036,1.088669318559668
S40y4,0.010817087142724974,8.531907485803725e-05,1.8937105555888334
S40y5,0.018003100830233272,3.383031523981788e-05,0.9038902878004487
S40y6,0.018136705933060073,0.00015684601088940435,0.8037908657416173
S40y7,0.13782415528872485,0.0002593380157263034,-1.5572567184724522
S40y8,0.03563360630568179,5.5859618403154546e-05,1.1116410807676638
