,Kla0,Kre0,sed_opt
S10y1,0.0009078089544561085,7.029201072455548e-05,0.7307777187106884
S10y2,0.0014669431248242092,0.00016388569959096947,1.6129448894901703
S10y3,0.0018295790039592006,0.0002226063525465876,0.8378443638669655
S10y4,0.04530747625326992,5.86330985498806e-06,1.467953223691968
S10y5,0.002956542059157999,0.00012754311704558824,0.9190422930579439
S10y6,0.0012051048859341043,0.00019155868043063473,0.8360382355736196
S10y7,0.0004991987980092104,0.0001702780693467978,0.2134062082415495
S10y8,0.0005698944100524056,6.946511889838608e-05,1.2873454692064237
